date,niche,demand,competition_gap,ai_fit,distortion,seasonality,total,status,notes
2026-06-13,halloween-yokai-svg,3,5,5,5,5,47.7,active,Gothmas×日本民俗の交差点が未開拓。7月中旬リリース必須
2026-06-13,thanksgiving-xmas-fusion,4,4,4,3,5,46.4,candidate,和紙×紅葉gratitude journal等。8月下旬リリース
2026-06-13,wagara-svg-cliparts,4,4,5,5,3,45.9,active,伝統紋様SVG。文化的正確性が参入障壁=日本人優位
2026-06-13,adhd-japandi-planner,5,4,4,4,2,45.5,active,ADHD×Japandi sensory-friendlyは市場に皆無
2026-06-13,japandi-planner,4,3,4,4,2,41.8,candidate,確立市場。差別化難度が高い
2026-06-13,kanji-calligraphy-art,4,3,4,4,1,39.5,below_line,タトゥー需要あるが意味の正確性リスク
2026-06-13,kimono-katagami-templates,2,5,4,4,1,38.2,below_line,競合ほぼゼロだが需要も小さい
2026-06-13,japan-travel-planner,4,2,3,3,2,37.7,below_line,競合厚い。日本在住の実体験が差別化の鍵
2026-06-13,ikigai-kaizen-worksheets,3,2,4,3,1,36.4,below_line,Ikigaiは既に供給多い
2026-06-13,bujo-japanese-style,3,3,3,3,2,35.5,below_line,需要がADHDプランナーより小さい
2026-06-13,japanese-recipe-cards,3,3,4,2,2,35.0,below_line,DIY和食層はニッチすぎる
2026-06-13,wabi-sabi-journal,3,2,4,2,1,32.3,below_line,既存品で需要捕捉済み
2026-06-13,zen-coloring-pages,4,2,4,1,1,31.4,rejected,曼荼羅塗り絵は飽和
2026-06-13,procreate-brush-japanese,3,3,2,2,1,30.0,rejected,ブラシ制作はAI適合度低
2026-07-11,tsukimi-moon-viewing,3,4,4,4,5,39.0,candidate,十五夜(9/25)向け月見テーマ。moon party市場は飽和気味だがtsukimi特化のデジタル印刷物はほぼ皆無(既存はハンドメイド物理品中心)。8週ラグ販売開始に最適タイミング
2026-07-11,autumn-equinox-higan-ohagi,2,2,3,1,4,21.0,below_line,需要規模小・墓参り連想で西洋層に刺さりにくい。印刷物需要の実例見つからず
2026-07-11,kakeibo-budget-planner,4,1,4,1,2,23.0,below_line,家計簿(kakeibo)は既に多数の確立ショップがEtsy上位独占。歪みシグナルなし
